Shift (s),std_dev
-300,0.5315307239256154
-299,0.5285956153552023
-298,0.5256669745714557
-297,0.5227439410408348
-296,0.5198262623624942
-295,0.5169151909401913
-294,0.5140105003146771
-293,0.5111127493264842
-292,0.5082205093079427
-291,0.5053342663953279
-290,0.5024550912004574
-289,0.4995821006782313
-288,0.4967155987568832
-287,0.493856667101676
-286,0.49100518703602686
-285,0.48816138173890405
-284,0.48532508615140685
-283,0.4824953554264134
-282,0.4796739487982337
-281,0.47685994536258175
-280,0.47405258187477556
-279,0.47125385266701547
-278,0.4684636199888494
-277,0.4656824038119176
-276,0.46290991243342217
-275,0.4601460659154594
-274,0.4573914683162627
-273,0.4546468145971904
-272,0.4519115950388592
-271,0.4491858088402737
-270,0.4464697674430912
-269,0.44376489719630663
-268,0.44106884823374576
-267,0.4383836678850959
-266,0.43570848655080785
-265,0.43304524034735964
-264,0.430392323934165
-263,0.42775134613163707
-262,0.4251226598300777
-261,0.42250484314645353
-260,0.41989878119062085
-259,0.4173040616696898
-258,0.4147220062342432
-257,0.41215453592049717
-256,0.40959853781045397
-255,0.407056120648788
-254,0.40452639133944857
-253,0.402011172610341
-252,0.399509888818796
-251,0.3970244374995968
-250,0.3945539440635455
-249,0.39209963203134923
-248,0.38966057436564333
-247,0.38723666644250115
-246,0.3848278997947532
-245,0.382435924827443
-244,0.38006106868928025
-243,0.3777030559291698
-242,0.3753616151284452
-241,0.37303943934517686
-240,0.3707333034851547
-239,0.3684458138663934
-238,0.36617741757775624
-237,0.3639277800701359
-236,0.36169649965001427
-235,0.35948606449996506
-234,0.3572964707495866
-233,0.35512748323571514
-232,0.3529809314888631
-231,0.3508531528784966
-230,0.3487491094602326
-229,0.3466667382767145
-228,0.3446082127264186
-227,0.3425732803514562
-226,0.34056086280707937
-225,0.338572313216905
-224,0.33660689799182975
-223,0.3346675242746668
-222,0.33275338636625396
-221,0.3308648791017018
-220,0.3290032693807226
-219,0.3271682185301926
-218,0.325359588299523
-217,0.32357848028985625
-216,0.32182614144736893
-215,0.32010324148327784
-214,0.3184093962199934
-213,0.3167433160992477
-212,0.3151064883069465
-211,0.3135006896226062
-210,0.3119277953355052
-209,0.31038588021768015
-208,0.3088756487236912
-207,0.30739652542332774
-206,0.3059514706840607
-205,0.3045394853806378
-204,0.3031628838360482
-203,0.30181968611564386
-202,0.3005139821510402
-201,0.29924361550690964
-200,0.2980087201679582
-199,0.2968092606736868
-198,0.29564730979138065
-197,0.2945214763779104
-196,0.29343406799429056
-195,0.29238323028632257
-194,0.2913704860845291
-193,0.290396337978604
-192,0.28946369123748417
-191,0.2885694248224613
-190,0.2877153709351933
-189,0.28690132600525864
-188,0.28613005590895857
-187,0.2853977141669997
-186,0.28470852275503256
-185,0.28406070498986047
-184,0.28345549438925866
-183,0.2828909144430923
-182,0.28236876420311524
-181,0.2818893438350393
-180,0.28145405681684
-179,0.2810603977448319
-178,0.28071131884244316
-177,0.2804064283807413
-176,0.2801450723247107
-175,0.2799267861714871
-174,0.27975275573624003
-173,0.2796250089057721
-172,0.2795397752009161
-171,0.2794987024570913
-170,0.27950259892446855
-169,0.2795512516251873
-168,0.2796439505164161
-167,0.2797810123148484
-166,0.27996151716386103
-165,0.2801853677540002
-164,0.28045330550118763
-163,0.280764879323496
-162,0.28111917809742537
-161,0.2815170584864036
-160,0.2819602963792677
-159,0.28244534124246273
-158,0.282973334051129
-157,0.28354368030695004
-156,0.2841558118389888
-155,0.28481122863465697
-154,0.2855080929994981
-153,0.2862479100225996
-152,0.2870284848956055
-151,0.28784902807938195
-150,0.28871068651195075
-149,0.2896129349046843
-148,0.2905533925796791
-147,0.2915341742518259
-146,0.2925515193129914
-145,0.29360838505249237
-144,0.2947023411315063
-143,0.2958340280094664
-142,0.29700282352721885
-141,0.2982087928236182
-140,0.2994494844605388
-139,0.30072664193608867
-138,0.30203855997264567
-137,0.30338483237800223
-136,0.30476715521249187
-135,0.3061831086193505
-134,0.3076324687022643
-133,0.30911448148804055
-132,0.3106294074988909
-131,0.31217535110969
-130,0.313752249459632
-129,0.31536193871765067
-128,0.3170021889854726
-127,0.3186715532612489
-126,0.32036960197149356
-125,0.32209853960921514
-124,0.32385761666405827
-123,0.3256431941014023
-122,0.3274553806058391
-121,0.32929510971313863
-120,0.33116303822159304
-119,0.3330555472372503
-118,0.3349729655819415
-117,0.33691660583090777
-116,0.3388857407929597
-115,0.340878662455556
-114,0.34289472693113043
-113,0.34493321922489306
-112,0.34699673135731884
-111,0.34908335625199033
-110,0.3511918325719565
-109,0.3533226807641347
-108,0.3554748893592116
-107,0.35764756423705896
-106,0.3598413476575502
-105,0.36205590711028657
-104,0.3642888072406511
-103,0.36654145240092656
-102,0.36881372347135993
-101,0.371104818793599
-100,0.3734136383647638
-99,0.3757404008483521
-98,0.3780855307954742
-97,0.3804481575200661
-96,0.38282837332341724
-95,0.38522434613457074
-94,0.38763743864421313
-93,0.39006535708449175
-92,0.3925104034174368
-91,0.3949696808118627
-90,0.39744473054032775
-89,0.3999354330405944
-88,0.40243994153121015
-87,0.40495930862536744
-86,0.40749214795734867
-85,0.41003863763216436
-84,0.41259799636628175
-83,0.415170667297828
-82,0.4177571636381735
-81,0.4203555710679977
-80,0.42296668193015247
-79,0.4255881371939151
-78,0.4282228332639633
-77,0.43086874186916524
-76,0.4335256716149629
-75,0.4361936337206333
-74,0.43887235734607505
-73,0.4415630768752731
-72,0.44426338333974247
-71,0.4469744534929935
-70,0.4496950330491594
-69,0.4524256971011638
-68,0.45516611979608956
-67,0.45791520646052536
-66,0.46067451474429694
-65,0.4634421714622356
-64,0.4662186955205474
-63,0.46900455823724974
-62,0.47179934527973416
-61,0.47460189765303534
-60,0.47741272016946873
-59,0.4802322243436684
-58,0.48305867868239605
-57,0.4858928045811028
-56,0.4887344232815512
-55,0.49158352145399986
-54,0.4944397376753464
-53,0.4973039661574699
-52,0.5001739950854657
-51,0.5030509161238499
-50,0.5059351834792442
-49,0.508826277576729
-48,0.5117239715107141
-47,0.5146275994678847
-46,0.5175359922117063
-45,0.5204520364591182
-44,0.5233732182576188
-43,0.5263003527166865
-42,0.5292331461539356
-41,0.532171453342596
-40,0.5351151690451699
-39,0.5380646264079271
-38,0.5410187186282149
-37,0.5439770892702509
-36,0.5469396843456842
-35,0.5499082803014257
-34,0.5528832774964942
-33,0.5558617264547027
-32,0.558844439410066
-31,0.5618307037016425
-30,0.5648222392865728
-29,0.5678177419562026
-28,0.570818006094626
-27,0.5738235988017149
-26,0.5768322520442407
-25,0.579845176813626
-24,0.5828614351452797
-23,0.5858818842960747
-22,0.588905735775358
-21,0.5919329690400408
-20,0.5949638056851685
-19,0.5979985058846496
-18,0.6010355426756572
-17,0.6040767480691538
-16,0.6071197477813688
-15,0.6101667886779225
-14,0.613217191951876
-13,0.6162703093001699
-12,0.6193256704804444
-11,0.6223842684313162
-10,0.6254461433163236
-9,0.6285093718920001
-8,0.6315754565824142
-7,0.6346448429399656
-6,0.6377169245082013
-5,0.6407915117091181
-4,0.6438683711088914
-3,0.6469483163576017
-2,0.6500295641747137
-1,0.6531136319731011
0,0.6562001382811082
1,0.6593507578780736
2,0.6625029857922963
3,0.6656577808473733
4,0.6688157367468897
5,0.6719764679918093
6,0.6751388638787297
7,0.6783031062012004
8,0.6814709922420512
9,0.6846412622353427
10,0.6878134545601343
11,0.6909870889744868
12,0.6941638620215907
13,0.6973428812846751
14,0.7005237709810026
15,0.7037071468477111
16,0.7068929719141289
17,0.7100803144422128
18,0.71326951988631
19,0.716461018274258
20,0.7196551379592716
21,0.7228509078913129
22,0.7260478727219798
23,0.7292466742783011
24,0.7324478898335994
25,0.7356501429724719
26,0.7388539133833364
27,0.7420587505201456
28,0.7452661570967785
29,0.7484751307365856
30,0.7516854991831631
31,0.7548969877824732
32,0.7581104797142231
33,0.7613245086166645
34,0.7645398808033248
35,0.7677563937485177
36,0.7709746938268947
37,0.7741942694043332
38,0.7774146237674058
39,0.7806364382998314
40,0.7838593948698619
41,0.7870834414702308
42,0.7903081669942724
43,0.7935349702231116
44,0.7967627080027948
45,0.7999909287460455
46,0.8032202797479798
47,0.8064506271943741
48,0.8096820079159559
49,0.8129139633769841
50,0.8161466744699656
51,0.8193805774886281
52,0.8226147880146791
53,0.8258490682294368
54,0.8290838819703376
55,0.8323202403194504
56,0.8355576288371203
57,0.8387950004010574
58,0.8420331533896032
59,0.845272029326633
60,0.8485116822474886
61,0.8517512860073473
62,0.854991584536737
63,0.8582326097660954
64,0.8614741769206712
65,0.8647157425693133
66,0.8679573195638319
67,0.871199504208321
68,0.8744428295646081
69,0.8776862223368814
70,0.8809301354778902
71,0.8841739900946297
72,0.887418397620919
73,0.8906632195576125
74,0.8939084745520186
75,0.8971536534586048
76,0.9003988924759704
77,0.9036440356018126
78,0.9068895203571794
79,0.91013541281954
80,0.9133811942564053
81,0.9166268298237495
82,0.919872395424977
83,0.92311859305716
84,0.9263649147379446
85,0.9296108579293056
86,0.9328564661335914
87,0.9361025094676458
88,0.939347899057947
89,0.9425933527842598
90,0.9458386133359146
91,0.9490839301921155
92,0.9523293253894153
93,0.9555740592023393
94,0.9588190486533639
95,0.9620634018889315
96,0.9653078353706889
97,0.9685518457655523
98,0.9717961292598152
99,0.9750402446281046
100,0.9782839790297935
101,0.9815268707697983
102,0.984769575648767
103,0.9880126019310383
104,0.9912554360569433
105,0.9944977200414952
106,0.9977390133886285
107,1.0009801198436556
108,1.0042209830840252
109,1.00746119083395
110,1.0107010234146596
111,1.0139412556102967
112,1.0171803536797792
113,1.0204186045342545
114,1.0236562731809618
115,1.0268941362742177
116,1.0301313490623922
117,1.0333682612350361
118,1.0366048109135086
119,1.0398407351472934
120,1.043075346455456
121,1.0463092074529603
122,1.049542601064139
123,1.0527764046353565
124,1.0560086128075783
125,1.0592403806976238
126,1.0624722819815524
127,1.0657030168090982
128,1.0689331612592277
129,1.0721624677130674
130,1.0753916125513059
131,1.078619626803101
132,1.0818468290593177
133,1.0850730711489889
134,1.088298671992486
135,1.0915236584875356
136,1.094747849313177
137,1.0979713430477058
138,1.101194189424253
139,1.1044155574840013
140,1.1076362820753054
141,1.1108563156389615
142,1.1140757052027659
143,1.1172942590438866
144,1.120511858525299
145,1.1237290461778093
146,1.1269449883199878
147,1.1301601387216489
148,1.1333737014243352
149,1.136586239015946
150,1.1397983940864898
151,1.1430091956866522
152,1.1462193338770152
153,1.1494288196137634
154,1.1526376353038223
155,1.155845189602906
156,1.1590514123835693
157,1.1622565977562989
158,1.1654606432917596
159,1.1686641608127748
160,1.171866643400043
161,1.1750680247678393
162,1.1782684986101286
163,1.181467467624141
164,1.1846659127754728
165,1.1878634071531249
166,1.1910595417146475
167,1.1942543502936158
168,1.197448094420317
169,1.2006407380086443
170,1.2038323719655686
171,1.2070223697332603
172,1.2102118952424759
173,1.2133999193162994
174,1.216586876094592
175,1.2197721380364472
176,1.2229563976637972
177,1.226139640899909
178,1.2293214127186003
179,1.2325016854472615
180,1.2356809142368401
181,1.2388593008979139
182,1.2420366321730185
183,1.2452121516131462
184,1.2483868929358042
185,1.2515601929936326
186,1.2547321568700869
187,1.2579025692589203
188,1.2610720901328456
189,1.2642408880413858
190,1.267407930011105
191,1.2705733761558446
192,1.2737369310638824
193,1.2768998764821982
194,1.2800612467543293
195,1.2832208264391143
196,1.286379213228376
197,1.289536051404221
198,1.292691509062798
199,1.2958456878784408
200,1.2989983644586525
201,1.302149658668826
202,1.3052994218066505
203,1.3084479668843338
204,1.31159544615123
205,1.3147414095049528
206,1.3178856473504093
207,1.3210285266073536
208,1.3241703290490439
209,1.3273105174526347
210,1.330449039076434
211,1.3335858192013976
212,1.336721192410391
213,1.3398552119299731
214,1.3429874980315553
215,1.3461185463692773
216,1.3492478963131873
217,1.3523758852444554
218,1.355502161022369
219,1.3586271174461249
220,1.3617501529027616
221,1.3648717681768077
222,1.3679925432894346
223,1.3711111314042725
224,1.374228321820458
225,1.3773434932612818
226,1.3804572983222096
227,1.3835694459516605
228,1.3866798784773748
229,1.389789007840146
230,1.3928959762330688
231,1.396001586045466
232,1.3991053633226957
233,1.4022077936274688
234,1.405308524023439
235,1.4084073206844514
236,1.4115044531567733
237,1.4146001236507542
238,1.417694160852304
239,1.4207864390551121
240,1.423877243197524
241,1.426965992321674
242,1.4300530557051834
243,1.433138697875745
244,1.436222331162327
245,1.439304010521427
246,1.4423842243190943
247,1.4454628467166297
248,1.448539745603204
249,1.4516147478198944
250,1.4546877382597363
251,1.4577589456882243
252,1.4608283868188479
253,1.4638957352634088
254,1.4669616536435834
255,1.4700256189484249
256,1.4730877127336652
257,1.4761482814945297
258,1.479207633900665
259,1.482264618616683
260,1.4853195626019484
261,1.4883729494891147
262,1.4914246243342115
263,1.494474369460755
264,1.4975219377139941
265,1.50056799521762
266,1.5036123515592328
267,1.5066546701745065
268,1.5096952359518947
269,1.5127339902988637
270,1.5157713575880367
271,1.5188066500159434
272,1.5218400183866154
273,1.5248711436930407
274,1.5279006160351625
275,1.5309278036313905
276,1.5339534146050107
277,1.5369771086490749
278,1.5399989910668344
279,1.5430187622171831
280,1.5460368555779314
281,1.5490525261448962
282,1.5520667418716463
283,1.555078978326576
284,1.5580889592879714
285,1.561097542476285
286,1.5641044059582554
287,1.5671090454658907
288,1.5701114783236014
289,1.5731121717038423
290,1.576110628233683
291,1.5791072316879335
292,1.5821015980471065
293,1.5850943351829705
294,1.5880850220819493
295,1.5910734126425428
296,1.594060334061976
297,1.5970452017238548
298,1.6000279813293186
299,1.6030086288953695
300,1.6059873457616833
