Rank,Interval start (s),Interval end (s),Sum of abs(slope),Slope: Tref (°C),Slope: t2 (°C),Mean: Tref (°C),Mean: t2 (°C),Min: Tref (°C),Max: Tref (°C),Min: t2 (°C),Max: t2 (°C)
1,9540.000000,9599.000000,0.000015,0.000013,-0.000002,64.125710,63.000000,64.124588,64.126633,62.990000,63.010000
2,4750.000000,4809.000000,0.000021,-0.000003,0.000018,58.948514,57.696000,58.947586,58.948990,57.680000,57.710000
3,6280.000000,6339.000000,0.000023,0.000020,-0.000002,58.982329,57.756000,58.981491,58.983139,57.750000,57.770000
4,5830.000000,5889.000000,0.000029,-0.000012,0.000017,59.000859,57.756167,58.998276,59.002121,57.740000,57.770000
5,6080.000000,6139.000000,0.000036,-0.000026,-0.000009,58.982553,57.729000,58.981186,58.983414,57.720000,57.740000
6,5210.000000,5269.000000,0.000039,-0.000033,0.000006,59.017286,57.768500,59.015945,59.018082,57.750000,57.780000
7,6030.000000,6089.000000,0.000039,-0.000039,-0.000000,58.983752,57.731667,58.982651,58.985275,57.720000,57.740000
8,5940.000000,5999.000000,0.000043,-0.000040,-0.000003,58.990678,57.738333,58.989059,58.992172,57.730000,57.750000
9,6320.000000,6379.000000,0.000045,0.000008,0.000038,58.983283,57.752833,58.981064,58.984756,57.740000,57.770000
10,6020.000000,6079.000000,0.000050,-0.000037,0.000013,58.984017,57.731667,58.983078,58.985275,57.720000,57.740000
11,5120.000000,5179.000000,0.000051,0.000001,-0.000050,59.018027,57.770000,59.016983,59.018967,57.750000,57.790000
12,5170.000000,5229.000000,0.000054,0.000011,0.000043,59.017475,57.765000,59.016647,59.018082,57.750000,57.780000
13,6040.000000,6099.000000,0.000062,-0.000021,-0.000041,58.983439,57.731500,58.982651,58.984573,57.720000,57.740000
14,5950.000000,6009.000000,0.000063,-0.000052,0.000011,58.990078,57.737500,58.986526,58.991196,57.730000,57.750000
