Rank,Interval start (s),Interval end (s),Sum of abs(slope),Slope: Tref (°C),Slope: t2 (°C),Mean: Tref (°C),Mean: t2 (°C),Min: Tref (°C),Max: Tref (°C),Min: t2 (°C),Max: t2 (°C)
15,4300.000000,4359.000000,0.000066,0.000018,-0.000048,58.881653,57.667833,58.880814,58.882217,57.660000,57.680000
16,4020.000000,4079.000000,0.000070,-0.000021,-0.000049,58.871318,57.604167,58.869461,58.873672,57.590000,57.610000
17,4320.000000,4379.000000,0.000073,0.000042,-0.000031,58.882386,57.666333,58.881180,58.883743,57.660000,57.670000
18,6470.000000,6529.000000,0.000077,-0.000053,0.000024,58.951434,57.753667,58.949173,58.955246,57.740000,57.770000
19,4070.000000,4129.000000,0.000077,0.000002,0.000075,58.870797,57.599500,58.868820,58.871872,57.590000,57.610000
20,6050.000000,6109.000000,0.000084,-0.000015,-0.000069,58.983183,57.730167,58.982529,58.983963,57.720000,57.740000
21,5160.000000,5219.000000,0.000087,-0.000005,-0.000082,59.017520,57.766000,59.016647,59.018723,57.750000,57.780000
22,5600.000000,5659.000000,0.000088,-0.000002,-0.000086,58.984405,57.742500,58.983139,58.985916,57.730000,57.760000
23,4080.000000,4139.000000,0.000092,0.000043,0.000049,58.871013,57.599333,58.868820,58.872940,57.590000,57.610000
24,4570.000000,4629.000000,0.000094,0.000063,-0.000031,58.918906,57.658167,58.915390,58.921127,57.650000,57.670000
25,4310.000000,4369.000000,0.000096,0.000035,-0.000061,58.881981,57.667167,58.880844,58.883560,57.660000,57.680000
26,40.000000,99.000000,0.000097,0.000028,-0.000069,52.188803,51.081667,52.186111,52.189957,51.070000,51.100000
27,6560.000000,6619.000000,0.000097,0.000074,0.000024,58.958133,57.767333,58.956192,58.961594,57.760000,57.780000
28,5760.000000,5819.000000,0.000098,0.000049,0.000050,58.993469,57.747833,58.991959,58.996506,57.740000,57.770000
29,4060.000000,4119.000000,0.000100,-0.000020,-0.000080,58.870738,57.599833,58.868820,58.871811,57.590000,57.610000
30,6060.000000,6119.000000,0.000102,-0.000017,-0.000084,58.982948,57.730000,58.982101,58.983414,57.720000,57.740000
31,5130.000000,5189.000000,0.000102,-0.000019,-0.000083,59.017955,57.768833,59.016647,59.018967,57.750000,57.790000
32,4290.000000,4349.000000,0.000102,0.000004,0.000098,58.881658,57.666833,58.880814,58.882309,57.650000,57.680000
33,9810.000000,9869.000000,0.000106,0.000000,0.000106,64.093150,63.005000,64.092545,64.093704,62.990000,63.020000
34,9800.000000,9859.000000,0.000107,-0.000024,0.000083,64.093317,63.004000,64.092545,64.094803,62.990000,63.020000
35,5640.000000,5699.000000,0.000108,0.000085,-0.000023,58.986531,57.739500,58.983200,58.988907,57.730000,57.750000
36,6130.000000,6189.000000,0.000110,-0.000106,0.000004,58.978962,57.732333,58.976273,58.982346,57.720000,57.740000
37,5190.000000,5249.000000,0.000110,0.000007,0.000103,59.017514,57.767167,59.016769,59.018082,57.750000,57.780000
38,5420.000000,5479.000000,0.000111,0.000021,-0.000089,59.025315,57.776000,59.024185,59.026199,57.760000,57.800000
39,5840.000000,5899.000000,0.000112,-0.000088,-0.000024,59.000172,57.757667,58.995865,59.002121,57.740000,57.770000
40,9700.000000,9759.000000,0.000112,-0.000109,0.000003,64.103263,62.994833,64.100754,64.107285,62.980000,63.010000
41,9570.000000,9629.000000,0.000116,-0.000056,0.000060,64.125233,63.001500,64.122116,64.126266,62.990000,63.010000
42,5960.000000,6019.000000,0.000118,-0.000096,-0.000022,58.989198,57.737333,58.984695,58.991196,57.730000,57.750000
43,4350.000000,4409.000000,0.000118,0.000092,-0.000026,58.884328,57.666667,58.881882,58.888657,57.650000,57.680000
44,50.000000,109.000000,0.000120,0.000015,-0.000105,52.189143,51.079167,52.188400,52.189957,51.060000,51.090000
45,5280.000000,5339.000000,0.000121,-0.000028,0.000093,59.011563,57.758833,59.009384,59.014633,57.740000,57.770000
46,6010.000000,6069.000000,0.000122,-0.000047,-0.000075,58.984420,57.732167,58.983078,58.986526,57.720000,57.740000
47,4790.000000,4849.000000,0.000123,0.000088,0.000035,58.949862,57.693667,58.947586,58.954117,57.680000,57.710000
48,5340.000000,5399.000000,0.000129,0.000100,-0.000029,59.017092,57.765000,59.014572,59.021439,57.740000,57.780000
49,5200.000000,5259.000000,0.000131,-0.000017,0.000114,59.017493,57.768167,59.016495,59.018082,57.750000,57.780000
50,6070.000000,6129.000000,0.000132,-0.000021,-0.000111,58.982799,57.729333,58.982040,58.983414,57.720000,57.740000
51,6480.000000,6539.000000,0.000132,0.000024,0.000108,58.951250,57.756167,58.949173,58.953720,57.740000,57.770000
52,6240.000000,6299.000000,0.000132,0.000037,0.000095,58.981267,57.752667,58.979385,58.981949,57.740000,57.770000
53,5270.000000,5329.000000,0.000132,-0.000091,-0.000041,59.012053,57.758000,59.009384,59.015823,57.740000,57.770000
54,6530.000000,6589.000000,0.000132,0.000089,0.000044,58.955897,57.765167,58.952805,58.957779,57.760000,57.770000
55,9530.000000,9589.000000,0.000133,-0.000021,-0.000111,64.125938,63.000167,64.124588,64.128036,62.990000,63.010000
56,5630.000000,5689.000000,0.000135,0.000087,-0.000048,58.985636,57.739667,58.983139,58.988632,57.730000,57.750000
57,5180.000000,5239.000000,0.000135,0.000015,0.000121,59.017492,57.766667,59.016647,59.018082,57.750000,57.780000
58,4430.000000,4489.000000,0.000138,0.000086,0.000052,58.893696,57.667167,58.890335,58.896622,57.650000,57.680000
59,5690.000000,5749.000000,0.000140,0.000101,-0.000039,58.991389,57.734333,58.988571,58.993851,57.720000,57.750000
60,3950.000000,4009.000000,0.000140,0.000024,0.000116,58.875858,57.597833,58.873276,58.876846,57.590000,57.610000
61,9560.000000,9619.000000,0.000140,-0.000006,0.000134,64.125642,63.000833,64.123215,64.126266,62.990000,63.010000
62,4330.000000,4389.000000,0.000142,0.000057,0.000085,58.882874,57.667833,58.881302,58.885117,57.660000,57.680000
63,4920.000000,4979.000000,0.000144,0.000131,0.000013,58.972432,57.710500,58.968491,58.976974,57.690000,57.730000
64,4090.000000,4149.000000,0.000145,0.000083,0.000062,58.871364,57.599667,58.868820,58.874008,57.590000,57.610000
65,4010.000000,4069.000000,0.000146,-0.000062,0.000084,58.871734,57.604667,58.869461,58.874588,57.590000,57.610000
66,4560.000000,4619.000000,0.000150,0.000088,-0.000061,58.918002,57.657833,58.914658,58.920395,57.650000,57.670000
67,5850.000000,5909.000000,0.000150,-0.000140,-0.000010,58.999255,57.758167,58.995163,59.002121,57.740000,57.770000
68,4340.000000,4399.000000,0.000151,0.000068,0.000083,58.883514,57.668167,58.881882,58.885483,57.660000,57.680000
69,4760.000000,4819.000000,0.000151,0.000008,-0.000144,58.948614,57.696167,58.947586,58.949600,57.690000,57.710000
70,6250.000000,6309.000000,0.000152,0.000021,0.000131,58.981747,57.754167,58.979965,58.982803,57.740000,57.770000
71,9580.000000,9639.000000,0.000153,-0.000121,0.000032,64.124224,63.002833,64.118088,64.126266,62.990000,63.010000
72,5610.000000,5669.000000,0.000153,0.000050,-0.000103,58.984715,57.742833,58.983139,58.988113,57.730000,57.760000
73,6090.000000,6149.000000,0.000155,-0.000043,0.000112,58.982169,57.729667,58.980087,58.983353,57.720000,57.740000
74,4780.000000,4839.000000,0.000156,0.000046,-0.000110,58.949122,57.693167,58.947586,58.950699,57.680000,57.700000
75,9450.000000,9509.000000,0.000159,-0.000088,-0.000071,64.132898,63.012167,64.130600,64.136917,63.000000,63.020000
76,9550.000000,9609.000000,0.000160,0.000020,0.000140,64.125753,63.000167,64.124588,64.126266,62.990000,63.010000
77,6140.000000,6199.000000,0.000161,-0.000081,0.000079,58.978114,57.733833,58.976273,58.981186,57.720000,57.750000
78,6550.000000,6609.000000,0.000161,0.000040,0.000121,58.957264,57.766667,58.955673,58.958786,57.760000,57.780000
79,3970.000000,4029.000000,0.000163,-0.000079,0.000084,58.875314,57.600000,58.872238,58.876846,57.590000,57.610000
80,6230.000000,6289.000000,0.000164,0.000050,0.000115,58.980871,57.749833,58.979385,58.981949,57.740000,57.760000
81,4390.000000,4449.000000,0.000165,0.000137,0.000028,58.889245,57.663833,58.885452,58.892685,57.650000,57.680000
82,4100.000000,4159.000000,0.000167,0.000110,0.000058,58.872510,57.599833,58.869949,58.876877,57.590000,57.610000
83,9720.000000,9779.000000,0.000169,-0.000134,0.000035,64.100800,62.994167,64.095383,64.104752,62.980000,63.010000
84,3940.000000,3999.000000,0.000169,0.000069,0.000100,58.875519,57.596667,58.872574,58.876846,57.590000,57.610000
85,6270.000000,6329.000000,0.000170,0.000022,0.000148,58.982138,57.755333,58.981461,58.983139,57.740000,57.770000
86,3980.000000,4039.000000,0.000175,-0.000115,0.000060,58.874452,57.601667,58.870682,58.876846,57.590000,57.610000
87,4740.000000,4799.000000,0.000177,-0.000017,0.000160,58.948540,57.694667,58.947586,58.949203,57.680000,57.710000
88,6540.000000,6599.000000,0.000178,0.000061,0.000117,58.956698,57.766167,58.954025,58.958176,57.760000,57.780000
89,5860.000000,5919.000000,0.000178,-0.000161,0.000018,58.998129,57.757500,58.994156,59.002121,57.740000,57.770000
90,5870.000000,5929.000000,0.000180,-0.000150,-0.000029,58.996692,57.756333,58.992905,59.002029,57.740000,57.770000
91,7930.000000,7989.000000,0.000181,-0.000109,-0.000072,65.330222,64.342000,65.325577,65.332596,64.320000,64.360000
92,3480.000000,3539.000000,0.000182,-0.000179,-0.000004,58.910881,57.509167,58.906418,58.916000,57.500000,57.520000
93,4540.000000,4599.000000,0.000184,0.000151,-0.000032,58.915766,57.658000,58.911118,58.919205,57.650000,57.670000
94,9710.000000,9769.000000,0.000184,-0.000108,0.000076,64.102206,62.994000,64.098343,64.105118,62.980000,63.010000
95,6290.000000,6349.000000,0.000185,0.000029,-0.000156,58.982680,57.756167,58.981583,58.984116,57.750000,57.770000
96,4550.000000,4609.000000,0.000185,0.000116,-0.000069,58.917076,57.658333,58.912094,58.919479,57.650000,57.670000
97,9730.000000,9789.000000,0.000185,-0.000149,-0.000037,64.099244,62.994667,64.094345,64.103378,62.980000,63.010000
98,6120.000000,6179.000000,0.000185,-0.000108,0.000078,58.979897,57.731500,58.976578,58.982468,57.720000,57.740000
99,4030.000000,4089.000000,0.000186,0.000007,-0.000179,58.871075,57.603833,58.869461,58.871811,57.590000,57.610000
100,5220.000000,5279.000000,0.000187,-0.000053,-0.000133,59.016817,57.767333,59.014389,59.018082,57.750000,57.780000
101,6000.000000,6059.000000,0.000189,-0.000077,-0.000112,58.985260,57.733000,58.983383,58.988998,57.720000,57.750000
102,3750.000000,3809.000000,0.000191,0.000072,0.000119,58.847100,57.546167,58.845688,58.850632,57.530000,57.560000
103,9440.000000,9499.000000,0.000191,-0.000123,-0.000068,64.134090,63.013333,64.131271,64.138779,63.000000,63.020000
104,6100.000000,6159.000000,0.000191,-0.000066,0.000125,58.981498,57.729667,58.978592,58.983017,57.720000,57.740000
105,5620.000000,5679.000000,0.000192,0.000077,-0.000116,58.985092,57.742333,58.983139,58.988113,57.730000,57.760000
106,3920.000000,3979.000000,0.000194,0.000138,0.000056,58.873436,57.594000,58.868637,58.876572,57.580000,57.600000
107,6570.000000,6629.000000,0.000195,0.000093,-0.000102,58.958970,57.766000,58.957230,58.962265,57.750000,57.780000
108,5110.000000,5169.000000,0.000197,0.000034,0.000163,59.017831,57.770333,59.015945,59.018967,57.760000,57.790000
109,5710.000000,5769.000000,0.000199,0.000037,0.000162,58.992915,57.735667,58.990555,58.994034,57.730000,57.740000
110,5320.000000,5379.000000,0.000199,0.000155,-0.000044,59.014346,57.764333,59.009384,59.017563,57.740000,57.780000
111,3600.000000,3659.000000,0.000200,-0.000175,0.000025,58.880226,57.515500,58.873795,58.886093,57.500000,57.520000
112,5590.000000,5649.000000,0.000201,-0.000060,-0.000141,58.984615,57.744167,58.983139,58.987381,57.730000,57.760000
113,410.000000,469.000000,0.000201,-0.000146,-0.000054,52.130322,50.869667,52.124802,52.134354,50.860000,50.880000
114,3770.000000,3829.000000,0.000204,0.000137,0.000066,58.849255,57.549167,58.845993,58.853561,57.540000,57.560000
115,5680.000000,5739.000000,0.000204,0.000124,-0.000080,58.990401,57.734167,58.986801,58.993240,57.720000,57.750000
116,570.000000,629.000000,0.000206,0.000174,0.000032,52.111346,50.809333,52.107529,52.116776,50.800000,50.830000
117,3960.000000,4019.000000,0.000207,-0.000034,0.000173,58.875825,57.598500,58.873276,58.876846,57.590000,57.610000
118,5410.000000,5469.000000,0.000207,0.000049,0.000158,59.024978,57.776333,59.022720,59.026199,57.760000,57.800000
119,3780.000000,3839.000000,0.000208,0.000150,0.000058,58.850583,57.549667,58.846664,58.854782,57.540000,57.560000
120,3760.000000,3819.000000,0.000210,0.000111,0.000099,58.848048,57.547667,58.845688,58.852432,57.540000,57.560000
121,3930.000000,3989.000000,0.000211,0.000109,0.000102,58.874604,57.596167,58.870255,58.876755,57.590000,57.610000
122,3790.000000,3849.000000,0.000213,0.000141,0.000072,58.851885,57.550167,58.848129,58.855118,57.540000,57.560000
123,4280.000000,4339.000000,0.000214,-0.000022,0.000191,58.881766,57.664833,58.880814,58.883438,57.650000,57.680000
124,5930.000000,5989.000000,0.000214,-0.000031,-0.000182,58.991116,57.739667,58.989609,58.992844,57.730000,57.750000
125,4770.000000,4829.000000,0.000214,0.000025,-0.000189,58.948825,57.694500,58.947586,58.950577,57.680000,57.710000
126,6110.000000,6169.000000,0.000215,-0.000089,0.000126,58.980739,57.731167,58.977646,58.982468,57.720000,57.740000
127,5780.000000,5839.000000,0.000216,0.000159,-0.000058,58.995609,57.748833,58.992386,59.000595,57.740000,57.770000
128,5700.000000,5759.000000,0.000219,0.000081,0.000139,58.992222,57.734167,58.988571,58.994034,57.720000,57.740000
129,9740.000000,9799.000000,0.000222,-0.000153,-0.000069,64.097932,62.994500,64.094131,64.101303,62.980000,63.010000
130,3740.000000,3799.000000,0.000222,0.000038,0.000184,58.846616,57.545833,58.845688,58.848526,57.530000,57.560000
131,4110.000000,4169.000000,0.000223,0.000130,0.000093,58.873687,57.602500,58.870285,58.878922,57.590000,57.630000
132,3590.000000,3649.000000,0.000224,-0.000201,0.000023,58.882229,57.515333,58.876602,58.888840,57.500000,57.520000
133,6190.000000,6249.000000,0.000224,0.000063,0.000161,58.978586,57.743333,58.976547,58.980087,57.730000,57.760000
134,9270.000000,9329.000000,0.000224,-0.000132,-0.000092,64.195269,63.083000,64.191483,64.199600,63.070000,63.100000
135,4580.000000,4639.000000,0.000225,0.000069,0.000156,58.919799,57.658833,58.917496,58.922867,57.650000,57.670000
136,5750.000000,5809.000000,0.000226,-0.000002,0.000224,58.993118,57.746833,58.991959,58.994125,57.730000,57.770000
137,6260.000000,6319.000000,0.000227,0.000024,0.000204,58.982018,57.755167,58.981430,58.983139,57.740000,57.770000
138,9750.000000,9809.000000,0.000228,-0.000144,0.000084,64.096853,62.995333,64.094101,64.101303,62.980000,63.010000
139,5580.000000,5639.000000,0.000228,-0.000102,-0.000126,58.985436,57.746333,58.983139,58.989487,57.730000,57.760000
140,6150.000000,6209.000000,0.000229,-0.000040,0.000189,58.977562,57.734667,58.976273,58.979904,57.720000,57.750000
141,6220.000000,6279.000000,0.000232,0.000049,0.000184,58.980555,57.748500,58.979385,58.981949,57.740000,57.760000
142,4180.000000,4239.000000,0.000233,0.000110,0.000123,58.886081,57.632167,58.879929,58.889145,57.620000,57.650000
143,6310.000000,6369.000000,0.000234,0.000043,-0.000191,58.983451,57.753000,58.982346,58.984756,57.740000,57.770000
144,560.000000,619.000000,0.000236,0.000090,-0.000147,52.110337,50.810000,52.107529,52.115921,50.800000,50.830000
145,4360.000000,4419.000000,0.000237,0.000119,-0.000118,58.885558,57.665833,58.882919,58.889725,57.650000,57.680000
146,9460.000000,9519.000000,0.000239,-0.000074,-0.000165,64.132074,63.011500,64.129776,64.134140,63.000000,63.020000
147,9650.000000,9709.000000,0.000239,-0.000151,-0.000089,64.110314,63.003500,64.105118,64.115677,62.990000,63.020000
148,9620.000000,9679.000000,0.000241,-0.000230,-0.000011,64.116191,63.005167,64.111038,64.123093,62.990000,63.030000
149,5140.000000,5199.000000,0.000242,-0.000032,-0.000210,59.017751,57.768833,59.016647,59.018967,57.750000,57.790000
150,4040.000000,4099.000000,0.000242,-0.000015,-0.000227,58.870749,57.602833,58.868820,58.871811,57.590000,57.610000
151,5350.000000,5409.000000,0.000242,0.000128,0.000114,59.018283,57.764667,59.015091,59.022598,57.740000,57.780000
152,9490.000000,9549.000000,0.000242,-0.000114,-0.000128,64.129189,63.006833,64.125473,64.131790,62.990000,63.020000
153,6330.000000,6389.000000,0.000243,-0.000049,0.000194,58.982978,57.754167,58.979843,58.984756,57.740000,57.780000
154,5990.000000,6049.000000,0.000243,-0.000103,-0.000140,58.986199,57.734667,58.983749,58.989609,57.720000,57.750000
155,4530.000000,4589.000000,0.000244,0.000162,0.000081,58.914333,57.657833,58.908707,58.918777,57.650000,57.670000
156,3580.000000,3639.000000,0.000244,-0.000212,-0.000031,58.884157,57.515333,58.878860,58.891159,57.500000,57.520000
157,6420.000000,6479.000000,0.000244,-0.000229,-0.000015,58.960555,57.742000,58.951828,58.967850,57.730000,57.760000
158,5770.000000,5829.000000,0.000245,0.000113,-0.000131,58.994267,57.748833,58.991959,59.000015,57.740000,57.770000
159,4440.000000,4499.000000,0.000246,0.000090,-0.000156,58.894754,57.667500,58.892258,58.898056,57.650000,57.680000
160,4000.000000,4059.000000,0.000246,-0.000106,0.000141,58.872431,57.604000,58.869461,58.876663,57.590000,57.610000
161,4050.000000,4109.000000,0.000247,-0.000019,-0.000228,58.870605,57.600333,58.868820,58.871811,57.590000,57.610000
162,5650.000000,5709.000000,0.000249,0.000068,-0.000181,58.987434,57.738333,58.984879,58.989975,57.720000,57.750000
163,5570.000000,5629.000000,0.000251,-0.000131,-0.000120,58.986614,57.748333,58.983902,58.990677,57.730000,57.760000
164,6300.000000,6359.000000,0.000252,0.000040,-0.000212,58.983129,57.754500,58.981857,58.984756,57.740000,57.770000
165,6160.000000,6219.000000,0.000254,0.000007,0.000247,58.977460,57.737167,58.976273,58.980026,57.730000,57.750000
166,7920.000000,7979.000000,0.000255,-0.000013,0.000242,65.330720,64.342333,65.326431,65.332596,64.320000,64.360000
167,5790.000000,5849.000000,0.000255,0.000176,0.000079,58.996979,57.750000,58.992813,59.001205,57.740000,57.770000
168,9470.000000,9529.000000,0.000258,-0.000082,-0.000176,64.131262,63.010333,64.128036,64.133591,63.000000,63.020000
169,9480.000000,9539.000000,0.000258,-0.000089,-0.000169,64.130255,63.008500,64.127274,64.132553,62.990000,63.020000
170,3730.000000,3789.000000,0.000259,-0.000027,0.000231,58.846732,57.543500,58.845688,58.850113,57.530000,57.560000
171,5820.000000,5879.000000,0.000260,0.000059,0.000201,59.000659,57.754833,58.996506,59.002121,57.740000,57.770000
172,6180.000000,6239.000000,0.000261,0.000069,0.000192,58.978107,57.740333,58.976273,58.980026,57.730000,57.750000
173,4840.000000,4899.000000,0.000263,0.000219,-0.000044,58.958616,57.699833,58.950546,58.965103,57.690000,57.710000
174,5100.000000,5159.000000,0.000265,0.000070,0.000194,59.017308,57.769333,59.013779,59.018967,57.760000,57.790000
175,5150.000000,5209.000000,0.000269,-0.000029,-0.000241,59.017669,57.767667,59.016647,59.018967,57.750000,57.790000
176,5090.000000,5149.000000,0.000269,0.000089,0.000180,59.016486,57.766333,59.013718,59.018509,57.750000,57.780000
177,3510.000000,3569.000000,0.000271,-0.000270,-0.000001,58.904060,57.509000,58.893753,58.909348,57.500000,57.520000
178,9790.000000,9849.000000,0.000272,-0.000037,0.000235,64.093536,63.002167,64.092545,64.094803,62.990000,63.020000
179,4500.000000,4559.000000,0.000273,0.000255,-0.000018,58.908098,57.656833,58.898300,58.914719,57.650000,57.670000
180,3500.000000,3559.000000,0.000274,-0.000205,0.000069,58.906456,57.509000,58.897232,58.911484,57.500000,57.520000
181,550.000000,609.000000,0.000274,-0.000003,-0.000271,52.109775,50.811000,52.107529,52.111649,50.800000,50.820000
182,5980.000000,6039.000000,0.000276,-0.000125,-0.000151,58.987236,57.735000,58.984573,58.991196,57.720000,57.750000
183,9770.000000,9829.000000,0.000281,-0.000064,0.000218,64.094489,62.997667,64.092819,64.098221,62.980000,63.010000
184,5330.000000,5389.000000,0.000282,0.000111,-0.000171,59.015757,57.763833,59.010025,59.018204,57.740000,57.780000
185,5670.000000,5729.000000,0.000282,0.000121,-0.000161,58.989356,57.735500,58.986740,58.993240,57.720000,57.750000
186,4890.000000,4949.000000,0.000283,0.000167,0.000116,58.968046,57.709333,58.962570,58.973160,57.690000,57.720000
187,4850.000000,4909.000000,0.000283,0.000200,0.000083,58.960683,57.701667,58.954117,58.965561,57.690000,57.720000
188,6520.000000,6579.000000,0.000284,0.000115,0.000169,58.954938,57.763333,58.950363,58.957535,57.750000,57.770000
189,9520.000000,9579.000000,0.000287,-0.000066,-0.000220,64.126445,63.001167,64.124588,64.129837,62.990000,63.010000
190,400.000000,459.000000,0.000288,-0.000153,-0.000135,52.131875,50.871333,52.128189,52.136612,50.860000,50.890000
191,3490.000000,3549.000000,0.000290,-0.000186,0.000104,58.908910,57.509000,58.902267,58.915359,57.500000,57.520000
192,6210.000000,6269.000000,0.000291,0.000057,0.000234,58.980040,57.747833,58.977524,58.981949,57.740000,57.760000
193,4730.000000,4789.000000,0.000291,-0.000001,0.000290,58.948632,57.693000,58.947647,58.949203,57.680000,57.710000
194,9280.000000,9339.000000,0.000291,-0.000119,-0.000172,64.193864,63.080833,64.190445,64.197861,63.060000,63.090000
195,9630.000000,9689.000000,0.000293,-0.000192,-0.000101,64.114015,63.005833,64.108566,64.121841,62.990000,63.030000
196,4800.000000,4859.000000,0.000295,0.000121,0.000174,58.951048,57.694833,58.948715,58.955673,57.680000,57.710000
197,5970.000000,6029.000000,0.000295,-0.000135,-0.000160,58.988222,57.736667,58.984573,58.991196,57.720000,57.750000
198,9260.000000,9319.000000,0.000295,-0.000142,-0.000154,64.196707,63.084167,64.192307,64.201218,63.070000,63.100000
199,9640.000000,9699.000000,0.000297,-0.000156,-0.000141,64.112130,63.005833,64.107407,64.118027,62.990000,63.030000
200,4270.000000,4329.000000,0.000297,-0.000051,0.000247,58.882149,57.663333,58.880814,58.884476,57.650000,57.680000
201,4510.000000,4569.000000,0.000298,0.000215,0.000083,58.910395,57.656333,58.902817,58.915390,57.650000,57.660000
202,5880.000000,5939.000000,0.000299,-0.000131,-0.000169,58.995177,57.755167,58.991470,59.000137,57.730000,57.770000
203,9690.000000,9749.000000,0.000303,-0.000141,-0.000162,64.104488,62.996333,64.100754,64.109085,62.980000,63.010000
204,5360.000000,5419.000000,0.000303,0.000141,0.000162,59.019605,57.765833,59.015945,59.024185,57.740000,57.780000
205,3990.000000,4049.000000,0.000305,-0.000120,0.000184,58.873506,57.602667,58.870682,58.876846,57.590000,57.610000
206,5660.000000,5719.000000,0.000307,0.000087,-0.000220,58.988388,57.737167,58.985916,58.991623,57.720000,57.750000
207,6200.000000,6259.000000,0.000308,0.000063,0.000245,58.979333,57.745667,58.977066,58.981949,57.730000,57.760000
208,3570.000000,3629.000000,0.000308,-0.000225,-0.000084,58.886263,57.514833,58.880020,58.893082,57.500000,57.520000
209,4410.000000,4469.000000,0.000310,0.000111,0.000199,58.891857,57.665167,58.888840,58.894943,57.650000,57.680000
210,9780.000000,9839.000000,0.000313,-0.000044,0.000269,64.093874,63.000167,64.092575,64.095322,62.990000,63.020000
211,5390.000000,5449.000000,0.000313,0.000101,0.000212,59.023365,57.773500,59.018204,59.025436,57.750000,57.800000
212,4420.000000,4479.000000,0.000314,0.000102,0.000212,58.892733,57.667000,58.889694,58.894943,57.650000,57.680000
213,3720.000000,3779.000000,0.000315,-0.000129,0.000186,58.847776,57.541833,58.845688,58.854935,57.530000,57.560000
214,3800.000000,3859.000000,0.000317,0.000113,0.000204,58.853011,57.551833,58.848709,58.856888,57.540000,57.570000
215,9500.000000,9559.000000,0.000318,-0.000125,-0.000193,64.128164,63.004833,64.124802,64.131271,62.990000,63.020000
216,420.000000,479.000000,0.000319,-0.000165,-0.000154,52.128725,50.866833,52.123795,52.133316,50.850000,50.880000
217,9590.000000,9649.000000,0.000320,-0.000191,0.000129,64.122699,63.004833,64.116043,64.126266,62.990000,63.030000
218,4450.000000,4509.000000,0.000323,0.000138,-0.000185,58.896203,57.665833,58.892807,58.902847,57.650000,57.680000
219,6490.000000,6549.000000,0.000323,0.000084,0.000239,58.951730,57.757500,58.949173,58.955673,57.740000,57.770000
220,4370.000000,4429.000000,0.000324,0.000134,-0.000190,58.886649,57.665333,58.883347,58.890060,57.650000,57.680000
221,5290.000000,5349.000000,0.000324,0.000038,0.000287,59.011972,57.760333,59.009384,59.015091,57.740000,57.780000
222,540.000000,599.000000,0.000325,-0.000067,-0.000258,52.109984,50.813667,52.107529,52.112869,50.800000,50.830000
223,5720.000000,5779.000000,0.000325,-0.000004,0.000322,58.993071,57.738667,58.991684,58.994034,57.730000,57.760000
224,9510.000000,9569.000000,0.000327,-0.000111,-0.000216,64.127207,63.002833,64.124588,64.131027,62.990000,63.010000
225,5400.000000,5459.000000,0.000327,0.000074,0.000253,59.024360,57.774667,59.021439,59.026199,57.750000,57.800000
226,4400.000000,4459.000000,0.000328,0.000123,0.000204,58.890585,57.663833,58.885818,58.893906,57.650000,57.680000
227,5920.000000,5979.000000,0.000328,-0.000051,-0.000277,58.991608,57.742333,58.990250,58.994156,57.730000,57.760000
228,5430.000000,5489.000000,0.000328,-0.000020,-0.000308,59.025115,57.775000,59.022995,59.026199,57.760000,57.800000
229,5080.000000,5139.000000,0.000329,0.000122,0.000207,59.015494,57.764167,59.011520,59.018112,57.750000,57.780000
