Rank,RHref%,RH2%
41,19.939015,21.314167
15,30.804761,31.1445
2,42.091132,40.971167
36,52.484918,50.2325
3,63.469152,60.169167
30,74.157116,69.720167
63,85.765081,80.187167
48,96.376037,91.006167
40,98.433311,95.252885
