Rank,RHref%,RH1%
9,21.126528,20.153
24,31.37297,29.369
5,42.085693,38.8955
28,52.526767,48.088167
59,63.908071,58.133667
30,74.157116,67.475833
63,85.765081,78.014667
60,96.584427,89.370833
