ts_iso,timestamp,time,cycle,addr,pressure,unit,latency_s,source,status
2026-05-11T16:39:01.000097+03:00,1778506741.000097,265.000081,54,1,100.480,kPa,3.503042,DPS8000,OK
2026-05-11T16:39:06.000095+03:00,1778506746.000095,270.000079,55,1,100.480,kPa,3.494981,DPS8000,OK
2026-05-11T16:39:11.000109+03:00,1778506751.000109,275.000093,56,1,100.479,kPa,3.499704,DPS8000,OK
2026-05-11T16:39:16.000098+03:00,1778506756.000098,280.000082,57,1,100.480,kPa,3.492899,DPS8000,OK
2026-05-11T16:39:21.000096+03:00,1778506761.000096,285.000080,58,1,100.482,kPa,3.493285,DPS8000,OK
2026-05-11T16:39:26.000096+03:00,1778506766.000096,290.000080,59,1,100.480,kPa,3.493282,DPS8000,OK
2026-05-11T16:39:31.000091+03:00,1778506771.000091,295.000075,60,1,100.494,kPa,3.492399,DPS8000,OK
2026-05-11T16:39:36.000115+03:00,1778506776.000115,300.000099,61,1,100.480,kPa,3.500038,DPS8000,OK
2026-05-11T16:39:41.000093+03:00,1778506781.000093,305.000077,62,1,100.480,kPa,3.496079,DPS8000,OK
2026-05-11T16:39:46.000094+03:00,1778506786.000094,310.000078,63,1,100.495,kPa,3.491206,DPS8000,OK
2026-05-11T16:39:51.000092+03:00,1778506791.000092,315.000076,64,1,100.478,kPa,3.491718,DPS8000,OK
2026-05-11T16:39:56.000091+03:00,1778506796.000091,320.000075,65,1,100.496,kPa,3.490866,DPS8000,OK
2026-05-11T16:40:01.000091+03:00,1778506801.000091,325.000075,66,1,100.494,kPa,3.541133,DPS8000,OK
2026-05-11T16:40:06.000091+03:00,1778506806.000091,330.000075,67,1,100.497,kPa,3.491350,DPS8000,OK
2026-05-11T16:40:11.000091+03:00,1778506811.000091,335.000075,68,1,100.481,kPa,3.491630,DPS8000,OK
2026-05-11T16:40:16.000089+03:00,1778506816.000089,340.000073,69,1,100.497,kPa,3.541234,DPS8000,OK
2026-05-11T16:40:21.000087+03:00,1778506821.000087,345.000071,70,1,100.480,kPa,3.491297,DPS8000,OK
2026-05-11T16:40:26.000095+03:00,1778506826.000095,350.000079,71,1,100.478,kPa,3.491293,DPS8000,OK
2026-05-11T16:40:31.000078+03:00,1778506831.000078,355.000062,72,1,100.494,kPa,3.491593,DPS8000,OK
2026-05-11T16:40:36.000082+03:00,1778506836.000082,360.000066,73,1,100.497,kPa,3.490966,DPS8000,OK
2026-05-11T16:40:41.000081+03:00,1778506841.000081,365.000065,74,1,100.496,kPa,3.491234,DPS8000,OK
2026-05-11T16:40:46.000086+03:00,1778506846.000086,370.000070,75,1,100.497,kPa,3.491336,DPS8000,OK
2026-05-11T16:40:51.000075+03:00,1778506851.000075,375.000059,76,1,100.496,kPa,3.491747,DPS8000,OK
2026-05-11T16:40:56.000085+03:00,1778506856.000085,380.000069,77,1,100.500,kPa,3.540872,DPS8000,OK
2026-05-11T16:41:01.000076+03:00,1778506861.000076,385.000060,78,1,100.499,kPa,3.491184,DPS8000,OK
2026-05-11T16:41:06.000078+03:00,1778506866.000078,390.000062,79,1,100.483,kPa,3.491354,DPS8000,OK
2026-05-11T16:41:11.000086+03:00,1778506871.000086,395.000070,80,1,100.499,kPa,3.491577,DPS8000,OK
2026-05-11T16:41:16.000078+03:00,1778506876.000078,400.000062,81,1,100.482,kPa,3.490852,DPS8000,OK
2026-05-11T16:41:21.000080+03:00,1778506881.000080,405.000064,82,1,100.483,kPa,3.491154,DPS8000,OK
2026-05-11T16:41:26.000082+03:00,1778506886.000082,410.000066,83,1,100.483,kPa,3.491348,DPS8000,OK
2026-05-11T16:41:31.000077+03:00,1778506891.000077,415.000061,84,1,100.483,kPa,3.491688,DPS8000,OK
2026-05-11T16:41:36.000082+03:00,1778506896.000082,420.000066,85,1,100.486,kPa,3.540900,DPS8000,OK
2026-05-11T16:41:41.000078+03:00,1778506901.000078,425.000062,86,1,100.499,kPa,3.491117,DPS8000,OK
2026-05-11T16:41:46.000080+03:00,1778506906.000080,430.000064,87,1,100.500,kPa,3.491375,DPS8000,OK
2026-05-11T16:41:51.000081+03:00,1778506911.000081,435.000065,88,1,100.499,kPa,3.541775,DPS8000,OK
2026-05-11T16:41:56.000084+03:00,1778506916.000084,440.000068,89,1,100.484,kPa,3.490906,DPS8000,OK
2026-05-11T16:42:01.000080+03:00,1778506921.000080,445.000064,90,1,100.485,kPa,3.491235,DPS8000,OK
2026-05-11T16:42:06.000090+03:00,1778506926.000090,450.000074,91,1,100.483,kPa,3.491368,DPS8000,OK
2026-05-11T16:42:11.000092+03:00,1778506931.000092,455.000076,92,1,100.499,kPa,3.491763,DPS8000,OK
2026-05-11T16:42:16.000082+03:00,1778506936.000082,460.000066,93,1,100.500,kPa,3.490879,DPS8000,OK
2026-05-11T16:42:21.000091+03:00,1778506941.000091,465.000075,94,1,100.500,kPa,3.491126,DPS8000,OK
2026-05-11T16:42:26.000090+03:00,1778506946.000090,470.000074,95,1,100.484,kPa,3.491385,DPS8000,OK
2026-05-11T16:42:31.000097+03:00,1778506951.000097,475.000081,96,1,100.500,kPa,3.540697,DPS8000,OK
2026-05-11T16:42:36.000091+03:00,1778506956.000091,480.000075,97,1,100.485,kPa,3.491020,DPS8000,OK
2026-05-11T16:42:41.000090+03:00,1778506961.000090,485.000074,98,1,100.482,kPa,3.491263,DPS8000,OK
2026-05-11T16:42:46.000097+03:00,1778506966.000097,490.000081,99,1,100.500,kPa,3.541407,DPS8000,OK
2026-05-11T16:42:51.000098+03:00,1778506971.000098,495.000082,100,1,100.485,kPa,3.486607,DPS8000,OK
2026-05-11T16:42:56.000091+03:00,1778506976.000091,500.000075,101,1,100.484,kPa,3.490863,DPS8000,OK
2026-05-11T16:43:01.000092+03:00,1778506981.000092,505.000076,102,1,100.500,kPa,3.491267,DPS8000,OK
2026-05-11T16:43:06.000093+03:00,1778506986.000093,510.000077,103,1,100.487,kPa,3.491403,DPS8000,OK
2026-05-11T16:43:11.000091+03:00,1778506991.000091,515.000075,104,1,100.500,kPa,3.528742,DPS8000,OK
2026-05-11T16:43:16.000091+03:00,1778506996.000091,520.000075,105,1,100.500,kPa,3.490896,DPS8000,OK
2026-05-11T16:43:21.000092+03:00,1778507001.000092,525.000076,106,1,100.483,kPa,3.491165,DPS8000,OK
2026-05-11T16:43:26.000093+03:00,1778507006.000093,530.000077,107,1,100.483,kPa,3.541446,DPS8000,OK
2026-05-11T16:43:31.000092+03:00,1778507011.000092,535.000076,108,1,100.500,kPa,3.528815,DPS8000,OK
2026-05-11T16:43:36.000093+03:00,1778507016.000093,540.000077,109,1,100.483,kPa,3.490997,DPS8000,OK
2026-05-11T16:43:41.000093+03:00,1778507021.000093,545.000077,110,1,100.483,kPa,3.491134,DPS8000,OK
2026-05-11T16:43:46.000092+03:00,1778507026.000092,550.000076,111,1,100.499,kPa,3.491427,DPS8000,OK
2026-05-11T16:43:51.000092+03:00,1778507031.000092,555.000076,112,1,100.499,kPa,3.528782,DPS8000,OK
2026-05-11T16:43:56.000094+03:00,1778507036.000094,560.000078,113,1,100.503,kPa,3.490921,DPS8000,OK
2026-05-11T16:44:01.000092+03:00,1778507041.000092,565.000076,114,1,100.500,kPa,3.491263,DPS8000,OK
2026-05-11T16:44:06.000091+03:00,1778507046.000091,570.000075,115,1,100.499,kPa,3.491467,DPS8000,OK
2026-05-11T16:44:11.000091+03:00,1778507051.000091,575.000075,116,1,100.503,kPa,3.528676,DPS8000,OK
2026-05-11T16:44:16.000079+03:00,1778507056.000079,580.000063,117,1,100.481,kPa,3.490917,DPS8000,OK
2026-05-11T16:44:21.000078+03:00,1778507061.000078,585.000062,118,1,100.500,kPa,3.541191,DPS8000,OK
2026-05-11T16:44:26.000083+03:00,1778507066.000083,590.000067,119,1,100.499,kPa,3.491392,DPS8000,OK
2026-05-11T16:44:31.000079+03:00,1778507071.000079,595.000063,120,1,100.483,kPa,3.528893,DPS8000,OK
2026-05-11T16:44:36.000084+03:00,1778507076.000084,600.000068,121,1,100.500,kPa,3.540937,DPS8000,OK
2026-05-11T16:44:41.000076+03:00,1778507081.000076,605.000060,122,1,100.497,kPa,3.491171,DPS8000,OK
2026-05-11T16:44:46.000078+03:00,1778507086.000078,610.000062,123,1,100.499,kPa,3.491393,DPS8000,OK
2026-05-11T16:44:51.000079+03:00,1778507091.000079,615.000063,124,1,100.484,kPa,3.478840,DPS8000,OK
2026-05-11T16:44:56.000081+03:00,1778507096.000081,620.000065,125,1,100.482,kPa,3.490895,DPS8000,OK
2026-05-11T16:45:01.000076+03:00,1778507101.000076,625.000060,126,1,100.482,kPa,3.491296,DPS8000,OK
2026-05-11T16:45:06.000082+03:00,1778507106.000082,630.000066,127,1,100.498,kPa,3.491415,DPS8000,OK
2026-05-11T16:45:11.000078+03:00,1778507111.000078,635.000062,128,1,100.497,kPa,3.528890,DPS8000,OK
2026-05-11T16:45:16.000082+03:00,1778507116.000082,640.000066,129,1,100.481,kPa,3.540939,DPS8000,OK
2026-05-11T16:45:21.000076+03:00,1778507121.000076,645.000060,130,1,100.484,kPa,3.491283,DPS8000,OK
2026-05-11T16:45:26.000079+03:00,1778507126.000079,650.000063,131,1,100.501,kPa,3.491427,DPS8000,OK
2026-05-11T16:45:31.000083+03:00,1778507131.000083,655.000067,132,1,100.499,kPa,3.478732,DPS8000,OK
2026-05-11T16:45:36.000089+03:00,1778507136.000089,660.000073,133,1,100.483,kPa,3.490942,DPS8000,OK
2026-05-11T16:45:41.000091+03:00,1778507141.000091,665.000075,134,1,100.483,kPa,3.491151,DPS8000,OK
2026-05-11T16:45:46.000091+03:00,1778507146.000091,670.000075,135,1,100.501,kPa,3.491407,DPS8000,OK
2026-05-11T16:45:51.000091+03:00,1778507151.000091,675.000075,136,1,100.484,kPa,3.528778,DPS8000,OK
2026-05-11T16:45:56.000098+03:00,1778507156.000098,680.000082,137,1,100.482,kPa,3.491044,DPS8000,OK
2026-05-11T16:46:01.000093+03:00,1778507161.000093,685.000077,138,1,100.503,kPa,3.491196,DPS8000,OK
2026-05-11T16:46:06.000094+03:00,1778507166.000094,690.000078,139,1,100.499,kPa,3.491579,DPS8000,OK
2026-05-11T16:46:11.000080+03:00,1778507171.000080,695.000064,140,1,100.483,kPa,3.528767,DPS8000,OK
2026-05-11T16:46:16.000087+03:00,1778507176.000087,700.000071,141,1,100.499,kPa,3.490969,DPS8000,OK
2026-05-11T16:46:21.000079+03:00,1778507181.000079,705.000063,142,1,100.484,kPa,3.491275,DPS8000,OK
2026-05-11T16:46:26.000081+03:00,1778507186.000081,710.000065,143,1,100.484,kPa,3.491488,DPS8000,OK
2026-05-11T16:46:31.000076+03:00,1778507191.000076,715.000060,144,1,100.484,kPa,3.528769,DPS8000,OK
2026-05-11T16:46:36.000080+03:00,1778507196.000080,720.000064,145,1,100.499,kPa,3.490904,DPS8000,OK
2026-05-11T16:46:41.000079+03:00,1778507201.000079,725.000063,146,1,100.483,kPa,3.491358,DPS8000,OK
2026-05-11T16:46:46.000082+03:00,1778507206.000082,730.000066,147,1,100.500,kPa,3.491427,DPS8000,OK
2026-05-11T16:46:51.000078+03:00,1778507211.000078,735.000062,148,1,100.500,kPa,3.528887,DPS8000,OK
2026-05-11T16:46:56.000080+03:00,1778507216.000080,740.000064,149,1,100.483,kPa,3.490918,DPS8000,OK
2026-05-11T16:47:01.000079+03:00,1778507221.000079,745.000063,150,1,100.500,kPa,3.491192,DPS8000,OK
2026-05-11T16:47:06.000083+03:00,1778507226.000083,750.000067,151,1,100.484,kPa,3.541455,DPS8000,OK
2026-05-11T16:47:11.000081+03:00,1778507231.000081,755.000065,152,1,100.484,kPa,3.528716,DPS8000,OK
2026-05-11T16:47:16.000084+03:00,1778507236.000084,760.000068,153,1,100.499,kPa,3.490913,DPS8000,OK
2026-05-11T16:47:21.000088+03:00,1778507241.000088,765.000072,154,1,100.500,kPa,3.491160,DPS8000,OK
2026-05-11T16:47:26.000078+03:00,1778507246.000078,770.000062,155,1,100.499,kPa,3.491449,DPS8000,OK
2026-05-11T16:47:31.000078+03:00,1778507251.000078,775.000062,156,1,100.500,kPa,3.528908,DPS8000,OK
2026-05-11T16:47:36.000079+03:00,1778507256.000079,780.000063,157,1,100.500,kPa,3.490956,DPS8000,OK
2026-05-11T16:47:41.000076+03:00,1778507261.000076,785.000060,158,1,100.500,kPa,3.491320,DPS8000,OK
2026-05-11T16:47:46.000079+03:00,1778507266.000079,790.000063,159,1,100.503,kPa,3.541468,DPS8000,OK
2026-05-11T16:47:51.000086+03:00,1778507271.000086,795.000070,160,1,100.485,kPa,3.528798,DPS8000,OK
2026-05-11T16:47:56.000086+03:00,1778507276.000086,800.000070,161,1,100.500,kPa,3.490912,DPS8000,OK
2026-05-11T16:48:01.000094+03:00,1778507281.000094,805.000078,162,1,100.484,kPa,3.491151,DPS8000,OK
2026-05-11T16:48:06.000092+03:00,1778507286.000092,810.000076,163,1,100.485,kPa,3.491565,DPS8000,OK
2026-05-11T16:48:11.000088+03:00,1778507291.000088,815.000072,164,1,100.500,kPa,3.529053,DPS8000,OK
2026-05-11T16:48:16.000081+03:00,1778507296.000081,820.000065,165,1,100.501,kPa,3.491003,DPS8000,OK
2026-05-11T16:48:21.000089+03:00,1778507301.000089,825.000073,166,1,100.501,kPa,3.491264,DPS8000,OK
2026-05-11T16:48:26.000085+03:00,1778507306.000085,830.000069,167,1,100.502,kPa,3.491499,DPS8000,OK
2026-05-11T16:48:31.000086+03:00,1778507311.000086,835.000070,168,1,100.500,kPa,3.528814,DPS8000,OK
2026-05-11T16:48:36.000082+03:00,1778507316.000082,840.000066,169,1,100.503,kPa,3.491133,DPS8000,OK
2026-05-11T16:48:41.000082+03:00,1778507321.000082,845.000066,170,1,100.487,kPa,3.541323,DPS8000,OK
2026-05-11T16:48:46.000083+03:00,1778507326.000083,850.000067,171,1,100.501,kPa,3.491496,DPS8000,OK
2026-05-11T16:48:51.000088+03:00,1778507331.000088,855.000072,172,1,100.486,kPa,3.528837,DPS8000,OK
2026-05-11T16:48:56.000086+03:00,1778507336.000086,860.000070,173,1,100.500,kPa,3.491101,DPS8000,OK
2026-05-11T16:49:01.000085+03:00,1778507341.000085,865.000069,174,1,100.501,kPa,3.491286,DPS8000,OK
2026-05-11T16:49:06.000086+03:00,1778507346.000086,870.000070,175,1,100.485,kPa,3.491505,DPS8000,OK
2026-05-11T16:49:11.000084+03:00,1778507351.000084,875.000068,176,1,100.502,kPa,3.528834,DPS8000,OK
2026-05-11T16:49:16.000084+03:00,1778507356.000084,880.000068,177,1,100.503,kPa,3.491034,DPS8000,OK
2026-05-11T16:49:21.000086+03:00,1778507361.000086,885.000070,178,1,100.502,kPa,3.491242,DPS8000,OK
2026-05-11T16:49:26.000085+03:00,1778507366.000085,890.000069,179,1,100.503,kPa,3.491560,DPS8000,OK
2026-05-11T16:49:31.000084+03:00,1778507371.000084,895.000068,180,1,100.487,kPa,3.528907,DPS8000,OK
2026-05-11T16:49:36.000092+03:00,1778507376.000092,900.000076,181,1,100.502,kPa,3.541097,DPS8000,OK
2026-05-11T16:49:41.000092+03:00,1778507381.000092,905.000076,182,1,100.487,kPa,3.491325,DPS8000,OK
2026-05-11T16:49:46.000091+03:00,1778507386.000091,910.000075,183,1,100.486,kPa,3.491448,DPS8000,OK
2026-05-11T16:49:51.000090+03:00,1778507391.000090,915.000074,184,1,100.503,kPa,3.528819,DPS8000,OK
2026-05-11T16:49:56.000091+03:00,1778507396.000091,920.000075,185,1,100.503,kPa,3.490968,DPS8000,OK
2026-05-11T16:50:01.000092+03:00,1778507401.000092,925.000076,186,1,100.501,kPa,3.491304,DPS8000,OK
2026-05-11T16:50:06.000092+03:00,1778507406.000092,930.000076,187,1,100.503,kPa,3.491438,DPS8000,OK
2026-05-11T16:50:11.000093+03:00,1778507411.000093,935.000077,188,1,100.487,kPa,3.528773,DPS8000,OK
2026-05-11T16:50:16.000091+03:00,1778507416.000091,940.000075,189,1,100.506,kPa,3.491146,DPS8000,OK
2026-05-11T16:50:21.000091+03:00,1778507421.000091,945.000075,190,1,100.488,kPa,3.491258,DPS8000,OK
2026-05-11T16:50:26.000091+03:00,1778507426.000091,950.000075,191,1,100.503,kPa,3.491548,DPS8000,OK
2026-05-11T16:50:31.000098+03:00,1778507431.000098,955.000082,192,1,100.503,kPa,3.529065,DPS8000,OK
2026-05-11T16:50:36.000093+03:00,1778507436.000093,960.000077,193,1,100.502,kPa,3.491091,DPS8000,OK
2026-05-11T16:50:41.000094+03:00,1778507441.000094,965.000078,194,1,100.486,kPa,3.491349,DPS8000,OK
2026-05-11T16:50:46.000091+03:00,1778507446.000091,970.000075,195,1,100.500,kPa,3.491455,DPS8000,OK
2026-05-11T16:50:51.000091+03:00,1778507451.000091,975.000075,196,1,100.491,kPa,3.528816,DPS8000,OK
2026-05-11T16:50:56.000092+03:00,1778507456.000092,980.000076,197,1,100.500,kPa,3.491004,DPS8000,OK
2026-05-11T16:51:01.000093+03:00,1778507461.000093,985.000077,198,1,100.503,kPa,3.491371,DPS8000,OK
2026-05-11T16:51:06.000092+03:00,1778507466.000092,990.000076,199,1,100.502,kPa,3.491506,DPS8000,OK
2026-05-11T16:51:11.000091+03:00,1778507471.000091,995.000075,200,1,100.501,kPa,3.528854,DPS8000,OK
2026-05-11T16:51:16.000092+03:00,1778507476.000092,1000.000076,201,1,100.503,kPa,3.490975,DPS8000,OK
